"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-25","변동액","계약종료일"
"SAME","주식회사 트리엠","25726638","데스크톱컴퓨터, 트리엠, TX4-RB5-506, Intel Core i5-14500(2.6GHz)","877400","877400","877400","0","2029.06.25"
"SAME","주식회사 인텍","25822416","데스크톱컴퓨터, 인텍, ITA176-T4416300, IntelCore i5-14400(2.5GHz)","878000","878000","878000","0","2029.03.14"
"SAME","주식회사 인텍","25822387","데스크톱컴퓨터, 인텍, ITA176-S4416300, IntelCore i5-14400(2.5GHz)","878000","878000","878000","0","2029.03.14"
"SAME","주식회사 엔와이컴퓨터","25216878","데스크톱컴퓨터, 엔와이컴퓨터, NY-ER77PYI00, AMD Ryzen7 PRO 7745(3.8GHz)","878200","878200","878200","0","2029.09.30"
"SAME","주식회사 엔와이컴퓨터","25216886","데스크톱컴퓨터, 엔와이컴퓨터, NY-PR77PYI00, AMD Ryzen7 PRO 7745(3.8GHz)","878200","878200","878200","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24589673","데스크톱컴퓨터, 서버앤컴퓨터, DODE-N7815, Intel Core i7 12700(2.1GHz)","880000","880000","880000","0","2026.04.29"
"SAME","몬스타주식회사","24569724","데스크톱컴퓨터, 몬스타, MPC-M125R8S256, Intel Core i5 12500(3GHz)","880070","880070","880070","0","2027.08.24"
"SAME","몬스타주식회사","24569700","데스크톱컴퓨터, 몬스타, MPC-S125R8S256, Intel Core i5 12500(3GHz)","880070","880070","880070","0","2027.08.24"
"SAME","주식회사 엔와이컴퓨터","25817152","데스크톱컴퓨터, 엔와이컴퓨터, NY-P144SI00, Intel Core i5 14400(2.5GHz)","880700","880700","880700","0","2029.09.30"
"NEW","(주)컴트리","25797490","데스크톱컴퓨터, 컴트리, CN4-E11-HK0001, Intel Core i3 14100(3.5GHz)","881800","","801800","0","2029.09.30"
"SAME","주식회사 인비전","25738648","데스크톱컴퓨터, 인비전, IV-M754165, Intel Core i5 14400(2.5GHz)","882000","882000","882000","0","2029.09.30"
"SAME","주식회사 엔와이컴퓨터","25817133","데스크톱컴퓨터, 엔와이컴퓨터, NY-B145AI00, Intel Core i5 14500(2.6GHz)","882300","",,"0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","25695794","데스크톱컴퓨터, 위더스컴퓨터, B7L-440N516, Intel Core i5 14400(2.5GHz)","883000","883000","883000","0","2029.09.30"
"SAME","주식회사 티원엘에스","25916106","데스크톱컴퓨터, 티원엘에스, TMB-D18900, Intel Core i3 14100(3.5GHz)","883100","883100","883100","0","2029.03.18"
"SAME","주식회사 리퓨터","25527950","데스크톱컴퓨터, 리퓨터, H4338E4N, Intel Core i3 13100(3.4GHz)","883800","883800","883800","0","2029.09.30"
"SAME","주식회사 리퓨터","25527962","데스크톱컴퓨터, 리퓨터, X3338E4N, Intel Core i3 13100(3.4GHz)","883800","883800","883800","0","2029.09.30"
"SAME","주식회사 아이티에스","25155321","데스크톱컴퓨터, 아이티에스, ITS-DT13-G5B50, Intel Core i5 13500(2.5GHz)","885000","885000","885000","0","2028.02.12"
"SAME","주식회사 트리엠","25204715","데스크톱컴퓨터, 트리엠, TX3-C5-506, Intel Core i5 13500(2.5GHz)","885400","885400","885400","0","2029.06.25"
"SAME","주식회사 삼보컴퓨터","25737586","데스크톱컴퓨터, 삼보컴퓨터, DT285-B750-002, AMD Ryzen 5 7600(3.8GHz)","886000","886000","886000","0","2029.09.30"
"SAME","(주)레드스톤시스템","25618495","데스크톱컴퓨터, 레드스톤시스템, BMZ-7756HKPFL, AMD Ryzen5 7600(3.8GHz)","886000","886000","886000","0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","25479217","데스크톱컴퓨터, 삼보컴퓨터, DG481-GB51-010, Intel Core i5 13500(2.5GHz)","888000","888000","888000","0","2029.09.30"
"SAME","주식회사 대우루컴즈","25228784","데스크톱컴퓨터, 대우루컴즈, DS361A-356500, Intel Core i5 13500(2.5GHz)","888000","888000",,"0","2029.09.30"
"SAME","주식회사 아이브리지닷컴","25628954","데스크톱컴퓨터, 아이브리지닷컴, M5-X44H-1A2N, i5-14400(2.5GHz)","888000","888000","888000","0","2028.12.03"
"SAME","주식회사 에이텍컴퓨터","25569827","데스크톱컴퓨터, 에이텍컴퓨터, A3SC-5NBDN, Intel Core i5 13500(2.5GHz)","888000","888000","888000","0","2029.09.30"
"SAME","주식회사 기린","25001177","데스크톱컴퓨터, 기린, KR176-T3416210, Intel Core i5 13400(2.5GHz)","888800","888800","888800","0","2029.09.30"
"SAME","주식회사 스마트인디지털","24502756","데스크톱컴퓨터, 스마트인디지털, DLM5-HGESAT, Intel Core i5 12500(3GHz)","889000","889000","889000","0","2029.09.30"
"SAME","주식회사 아이브리지닷컴","25628957","데스크톱컴퓨터, 아이브리지닷컴, M5-X45H-1A2N, i5-14500(2.6GHz)","889000","889000","889000","0","2028.12.03"
"SAME","(주)유투","25479198","데스크톱컴퓨터, 유투, T5E2-500, Intel Core i5 14500(2.6GHz)","890000","890000","890000","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24487396","데스크톱컴퓨터, 위더스컴퓨터, H6S-50N516, Intel Core i5 12500(3.0GHz)","890000","890000","890000","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24487405","데스크톱컴퓨터, 위더스컴퓨터, H6T-50N516, Intel Core i5 12500(3.0GHz)","890000","890000","890000","0","2029.09.30"
