"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-26","2025-12-30","2025-12-31","2026-01-02","변동액","계약종료일"
"SAME","주식회사 한라온","25358526","데스크톱컴퓨터, 한라온, AN176-T3716220, Intel Core i7 13700(2.1GHz)","","1226900","1226900","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935442","데스크톱컴퓨터, 트리엠, TU2-RB4-506, Intel Core Ultra 5 225(3.3GHz)","","1232900","1232900","1232900","1232900","1440200","207300","2029.06.25"
"UP","주식회사 트리엠","25935446","데스크톱컴퓨터, 트리엠, TU2-CB4-506, Intel Core Ultra 5 225(3.3GHz)","","1232900","1232900","1232400","1232400","1440200","207800","2029.06.25"
"SAME","주식회사 한라온","25210955","데스크톱컴퓨터, 한라온, AN176-T3716320, Intel Core i7-13700(2.1Ghz)","","1266700","1266700","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935434","데스크톱컴퓨터, 트리엠, TU2-CH5-506, Intel Core Ultra 5 235(3.4GHz)","","1282900","1282900","1282300","1282300","1490200","207900","2029.06.25"
"UP","주식회사 트리엠","25935426","데스크톱컴퓨터, 트리엠, TU2-RH5-506, Intel Core Ultra 5 235(3.4GHz)","","1282900","1282900","1282900","1282900","1490200","207300","2029.06.25"
"SAME","주식회사 한라온","25360741","데스크톱컴퓨터, 한라온, AN176-T37163C0, Intel Core i7 13700(2.1GHz)","","1297400","1297400","","",,"0","2027.11.09"
"SAME","주식회사 에이텍컴퓨터","25573221","데스크톱컴퓨터, 에이텍컴퓨터, A4TQ-5HBDN, Intel Core i7-13700(2.1GHz)","","1303000","","","",,"0","2029.09.30"
"SAME","주식회사 한라온","24544638","데스크톱컴퓨터, 한라온, AN161-T2716215, Intel Core i7 12700(2.1GHz)","","1308750","1308750","","",,"0","2027.11.09"
"SAME","주식회사 한라온","24544628","데스크톱컴퓨터, 한라온, AN161-T2516315, Intel Core i5 12500(3.0GHz)","","1324400","1324400","","",,"0","2027.11.09"
"SAME","주식회사 한라온","25326628","데스크톱컴퓨터, 한라온, AN176-S3732320, Intel Core i7 13700(2.1GHz)","","1324400","1324400","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935438","데스크톱컴퓨터, 트리엠, TU2-CB5-506, Intel Core Ultra 5 235(3.4GHz)","","1332900","1332900","1332900","1332900","1540200","207300","2029.06.25"
"UP","주식회사 트리엠","25935432","데스크톱컴퓨터, 트리엠, TU2-RB5-506, Intel Core Ultra 5 235(3.4GHz)","","1332900","1332900","1330000","1330000","1540200","210200","2029.06.25"
"SAME","주식회사 한라온","25326728","데스크톱컴퓨터, 한라온, AN176-T3732320, Intel Core i7 13700(2.1GHz)","","1334400","1334400","","",,"0","2027.11.09"
"SAME","주식회사 한라온","24544621","데스크톱컴퓨터, 한라온, AN161-S2716315, Intel Core i7 12700(2.1GHz)","","1348550","1348550","","",,"0","2027.11.09"
"SAME","주식회사 한라온","24544637","데스크톱컴퓨터, 한라온, AN161-T2716325, Intel Core i7 12700(2.1GHz)","","1375450","1375450","","",,"0","2027.11.09"
"SAME","주식회사 한라온","24544646","데스크톱컴퓨터, 한라온, AN161-T2716324, Intel Core i7 12700(2.1GHz)","","1416050","1416050","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935430","데스크톱컴퓨터, 트리엠, TU2-RB5-5506, Intel Core Ultra 5 235(3.4GHz)","","1418900","1418900","1417200","1417200","1680200","263000","2029.06.25"
