"상태","업체명","식별번호","규격","2025-12-31","2026-01-02","2026-01-12","2026-01-29","변동액","계약종료일"
"DOWN","주식회사 리퓨터","25965303","노트북컴퓨터, Lenovo, (CN)21NTS3Y100, Intel Core Ultra 7 258V(2.2GHz), 액세사리별도","3355000","3355000","3355000","3319000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965302","노트북컴퓨터, Lenovo, (CN)21R0A01FKR, Intel Core Ultra 7 255HX(2.4GHz), 액세사리별도","3410000","3410000","3410000","3374000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25514392","노트북컴퓨터, 삼보컴퓨터, A600-GA70-OU02, Intel Core Ultra 7 155H(1.4GHz), 액세서리별도","3685000","3685000","3685000","3649000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25514393","노트북컴퓨터, 삼보컴퓨터, A600-GA70-PU02, Intel Core Ultra 7 155H(1.4GHz), 액세서리별도","3745000","3745000","3745000","3709000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25514394","노트북컴퓨터, 삼보컴퓨터, A600-GA70-OU03, Intel Core Ultra 7 155H(1.4GHz), 액세서리별도","3835000","3835000","3835000","3799000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965301","노트북컴퓨터, Lenovo, (CN)21QSS0HD00, AMD Ryzen AI 7 PRO 350(2.0GHz), 액세사리별도","3850000","3850000","3850000","3814000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25514395","노트북컴퓨터, 삼보컴퓨터, A600-GA70-PU03, Intel Core Ultra 7 155H(1.4GHz), 액세서리별도","3895000","3895000","3895000","3859000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25514390","노트북컴퓨터, 삼보컴퓨터, A600-GA70-OU01, Intel Core Ultra 7 155H(1.4GHz), 액세서리별도","4385000","4385000","4385000","4349000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25514391","노트북컴퓨터, 삼보컴퓨터, A600-GA70-PU01, Intel Core Ultra 7 155H(1.4GHz), 액세서리별도","4445000","4445000","4445000","4409000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829484","노트북컴퓨터, 삼성전자, (VN)NT960XHA-KG73G, Intel Core Ultra 7 258V(2.2GHz)","","2840000","2840000","2804000","-36000","2026.07.31"
"NEW","엘지전자 주식회사","25364919","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG50S-GP79KN, Intel Core Ultra 7 155U(1.7GHz), 액세서리별도",,,,"1561000","0","2026.07.31"
