상태,업체명,식별번호,규격,2025-12-17,2025-12-31,2026-01-29,2026-02-26,2026-03-25,2026-04-26,변동액,계약종료일
SAME,주식회사 기린,25661578,"데스크톱컴퓨터, 기린, KR176-S4516300, Intel&nbsp;Core&nbsp;i5-14500(2.6GHz)",1032500,1032000,1346500,1512900,1512900,1512900,0,2029.09.30
SAME,주식회사 기린,25320689,"데스크톱컴퓨터, 기린, KR176-T35163C0, Intel Core i5-13500(2.5GHz)",1032830,1032500,,1608630,1608630,1608630,0,2029.09.30
SAME,(주)다컴시스템,25586020,"데스크톱컴퓨터, 다컴시스템, SI4EKM-4640BA, Intel Core i5 14400(2.5GHz)",1033000,1033000,1304000,1304000,1524000,1524000,0,2029.09.30
SAME,(주)다컴시스템,25586018,"데스크톱컴퓨터, 다컴시스템, MI4EKD-4640BA, Intel Core i5 14400(2.5GHz)",1033000,1032830,1304000,1304000,1524000,1524000,0,2029.09.30
SAME,주식회사 스마트인디지털,24502765,"데스크톱컴퓨터, 스마트인디지털, DLM5-PGESAT(103), Intel Core i5 12500(3GHz)",1033500,1033000,1389300,1389300,1570400,1570400,0,2029.09.30
SAME,주식회사 티원엘에스,25859214,"검색결과1,931건판매량순낮은가격순평점순최신등록순납품사례많은순",1033700,1033500,,,,,0,2029.03.18
SAME,주식회사 아이티에스,25155333,"데스크톱컴퓨터, 아이티에스, ITS-DS13-G7B21, Intel Core i7 13700(2.1GHz)",1036000,1036000,1390000,1390000,1580000,1580000,0,2028.02.12
SAME,주식회사 주연테크,25792412,"데스크톱컴퓨터, 주연테크, JA-145F1S, Intel Core i5-14500(2.6GHz)",1036500,1036000,,,,,0,2029.09.30
SAME,주식회사 주연테크,25792439,"데스크톱컴퓨터, 주연테크, JA-144F5S2H, Intel Core i5-14400(2.5GHz)",1036700,1036700,1285700,1495000,1395000,1395000,0,2029.09.30
SAME,주식회사 주연테크,25792388,"데스크톱컴퓨터, 주연테크, JS-144F5S2H, Intel Core i5-14400(2.5GHz)",1036700,1036700,1285700,1495000,1395000,1395000,0,2029.09.30
SAME,위메이드 보호작업장,25638687,"데스크톱컴퓨터, 위메이드 보호작업장, RTS-L2ZM55VZ, Intel Core i5 14400(2.5GHz)",1036700,1036500,1429700,1695000,1626000,1626000,0,2026.07.19
SAME,주식회사 인텍,25232541,"데스크톱컴퓨터, 인텍, IT176-T3516310, Intel Core i5-13500(2.5GHz)",1037000,1036700,1443000,1632000,1632000,1632000,0,2029.03.14
SAME,(주)레드스톤시스템,25618953,"데스크톱컴퓨터, 레드스톤시스템, DMY-4566HKPL, Intel Core i5 14500(2.6GHz)",1038000,1037000,1164000,1370000,1370000,1370000,0,2029.09.30
SAME,(주)레드스톤시스템,25618480,"데스크톱컴퓨터, 레드스톤시스템, CSY-4566HKP, Intel Core i5 14500(2.6GHz)",1038000,1038000,1208000,1414000,1414000,1414000,0,2029.09.30
SAME,(주)레드스톤시스템,25618453,"데스크톱컴퓨터, 레드스톤시스템, DMY-4566HKP, Intel Core i5 14500(2.6GHz)",1038000,1038000,1212000,1418000,1418000,1418000,0,2029.09.30
SAME,(주)레드스톤시스템,25618468,"데스크톱컴퓨터, 레드스톤시스템, CSY-4566HKPL, Intel Core i5 14500(2.6GHz)",1038000,1038000,1246000,1452000,1452000,1452000,0,2029.09.30
SAME,주식회사 티원엘에스,25859209,"데스크톱컴퓨터, 티원엘에스, TSB-D41920S, Intel Core i5 14400(2.5GHz)",1038000,1038000,1271800,1271800,1281200,1281200,0,2029.03.18
SAME,주식회사 트리엠,25726637,"데스크톱컴퓨터, 트리엠, TX4-CB5-5106, Intel Core i5-14500(2.6GHz)",1039900,1038000,1371600,,1763200,1763200,0,2029.06.25
SAME,주식회사 비엔피,25031929,"데스크톱컴퓨터, 비엔피, B5M-3T8S5H1, Intel Core i5 13500(2.5GHz)",1040100,1039900,1221100,1389100,1389100,1389100,0,2029.09.30
SAME,주식회사 비엔피,25031910,"데스크톱컴퓨터, 비엔피, B5S-31T8S5H1, Intel Core i5 13500(2.5GHz)",1040100,1040100,1221100,1389100,1389100,1389100,0,2029.09.30
SAME,(주)컴트리,25797474,"데스크톱컴퓨터, 컴트리, CS4-E53-B0001, Intel Core i5 14500(2.6GHz)",1040260,1040200,1389260,,,,0,2029.09.30
SAME,주식회사 테트라,25356973,"데스크톱컴퓨터, 테트라, T-KMDT455S16, Intel Core i5 14500(2.6GHz)",1041000,1041000,1226700,1226700,1355200,1355200,0,2029.09.30
SAME,주식회사 기린,25661566,"데스크톱컴퓨터, 기린, KR176-T4516300, Intel&nbsp;Core&nbsp;i5-14500(2.6GHz)",1042500,1041000,1356500,1522900,1522900,1522900,0,2029.09.30
SAME,사단법인 나너우리,25784878,"데스크톱컴퓨터, 나너우리, IYU-M45N9, Intel Core i5 14500(2.6GHz)",1042500,1042500,1387500,1566500,1566500,1566500,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24487416,"데스크톱컴퓨터, 위더스컴퓨터, H6T-70N2H116, Intel Core i7 12700(2.1GHz)",1043000,1042500,1326000,1326000,1535000,1535000,0,2029.09.30
SAME,주식회사 트리엠,25726641,"데스크톱컴퓨터, 트리엠, TX4-RB5-5106, Intel Core i5-14500(2.6GHz)",1043900,1043000,1375600,,1767200,1767200,0,2029.06.25
SAME,주식회사 삼보컴퓨터,25225200,"데스크톱컴퓨터, 삼보컴퓨터, DG485-A770-006, AMD Ryzen 5 PRO 7645(3.8GHz)",1044000,1044000,1259000,1476000,1476000,1476000,0,2029.09.30
SAME,주식회사 삼보컴퓨터,25225211,"데스크톱컴퓨터, 삼보컴퓨터, DT285-A750-006, AMD Ryzen 5 PRO 7645(3.8GHz)",1044000,1044000,1259000,1476000,1476000,1476000,0,2029.09.30
SAME,사단법인 한국사회적일자리개발원,24526180,"데스크톱컴퓨터, 한국사회적일자리개발원, DT12-B708M51G0, Intel Core i7 12700(2.1GHz)",1044700,1044000,1279200,1457900,1457900,1457900,0,2029.09.30
SAME,주식회사 인비전,25738645,"데스크톱컴퓨터, 인비전, IV-S745165H2, Intel Core i5 14500(2.6GHz)",1045000,1044700,1284700,1284700,1486100,1486100,0,2029.09.30
SAME,(주)레드스톤시스템,25618476,"검색결과2,299건판매량순낮은가격순평점순최신등록순납품사례많은순",1046500,1046500,1292500,1487000,1487000,1487000,0,2029.09.30
SAME,(주)레드스톤시스템,25618449,"데스크톱컴퓨터, 레드스톤시스템, DMY-4466GMP, Intel Core i5 14400(2.5GHz)",1046500,1045000,1296500,1491000,1491000,1491000,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24158959,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N7815, Intel Core i7 10700(2.9GHz)",1048000,1046500,1197900,1197900,1324900,1324900,0,2026.04.29
SAME,(주)컴트리,25797479,"데스크톱컴퓨터, 컴트리, CS4-E71-B0002, Intel Core i7 14700(2.1GHz)",1048710,1048000,1382310,1382310,1635200,1635200,0,2029.09.30
SAME,주식회사 성주컴텍,25776533,"데스크톱컴퓨터, 성주컴텍, SD110-GRRB30S1M, Intel Core i7 14700(2.1GHz)",1049000,1048710,,1572100,1572100,1572100,0,2029.09.30
SAME,주식회사 인텍,25319753,"데스크톱컴퓨터, 인텍, IT176-S3516320, Intel Core i5-13500(2.5GHz)",1049500,1049000,1342500,1572500,1572500,1572500,0,2029.03.14
SAME,주식회사 삼보컴퓨터,25569964,"데스크톱컴퓨터, 삼보컴퓨터, DT281-GB51Q-001, Intel Core i5 13500(2.5GHz)",1052000,1052000,1273000,1498000,1498000,,0,2029.09.30
SAME,주식회사 삼보컴퓨터,25569923,"데스크톱컴퓨터, 삼보컴퓨터, DG481-GB51Q-001, Intel Core i5 13500(2.5GHz)",1052000,1052000,1273000,1498000,1498000,,0,2029.09.30
SAME,주식회사 대우루컴즈,25563918,"데스크톱컴퓨터, 대우루컴즈, DS367A-356500, Intel Core i5 13500(2.5GHz)",1052000,1052000,1273000,1498000,1498000,,0,2029.09.30
SAME,주식회사 대우루컴즈,25563906,"데스크톱컴퓨터, 대우루컴즈, DT367B-356500, Intel Core i5 13500(2.5GHz)",1052000,1049500,1273000,1498000,1498000,,0,2029.09.30
